Times,Freqs,Fluxes,FluxErrs,Filt,Instrument,GCN Number,UL
37295.0,2.42E+18,9.65E-05,2.17E-05,X-ray(10keV),,,N
37441.4,2.42E+18,1.65E-04,3.61E-05,X-ray(10keV),,,N
37581.9,2.42E+18,1.19E-04,2.67E-05,X-ray(10keV),,,N
37765.9,2.42E+18,1.28E-04,2.89E-05,X-ray(10keV),,,N
38018.4,2.42E+18,1.39E-04,2.33E-05,X-ray(10keV),,,N
192150.9,2.42E+18,2.88E-05,6.71E-06,X-ray(10keV),,,N
212307.5,2.42E+18,2.77E-05,7.33E-06,X-ray(10keV),,,N
214919.5,2.42E+18,2.34E-05,4.70E-06,X-ray(10keV),,,N
530259.9,2.42E+18,3.78E-06,6.92E-07,X-ray(10keV),,,N
990768.5,2.42E+18,3.18E-06,6.82E-07,X-ray(10keV),,,N
1421373.0,2.42E+18,1.35E-06,6.84E-07,X-ray(10keV),,,N
1836371.0,2.42E+18,7.98E-07,1.58E-07,X-ray(10keV),,,N
3206883.0,2.42E+18,7.70E-07,2.14E-07,X-ray(10keV),,,N
3570113.0,2.42E+18,5.97E-07,2.18E-07,X-ray(10keV),,,N
31017.6,4.73E+14,1.11E-01,5.12E-03,r',,,N
85449.6,4.73E+14,3.23E-02,3.28E-03,r',,,N
90720.0,4.73E+14,2.69E-02,1.24E-03,r',,,N
91497.6,4.73E+14,2.71E-02,5.00E-04,r',,,N
151200.0,4.73E+14,1.56E-02,8.63E-04,r',,,N
188784.0,4.73E+14,1.18E-02,4.36E-04,r',,,N
250646.4,4.73E+14,8.82E-03,8.13E-04,r',,,N
267235.2,4.73E+14,7.48E-03,6.88E-04,r',,,N
31017.6,4.84E+14,0.109958,4.05E-03,r,,,N
31017.6,4.84E+14,0.109958,4.05E-03,r,,,N
31017.6,4.84E+14,0.112002,2.06E-03,r,,,N
32572.8,4.84E+14,0.100283,2.77E-03,r,,,N
32572.8,4.84E+14,1.00E-01,2.77E-03,r,,,N
32572.8,4.84E+14,9.94E-02,9.15E-04,r,,,N
38534.4,4.84E+14,8.26E-02,3.05E-03,r,,,N
38534.4,4.84E+14,8.26E-02,3.05E-03,r,,,N
38534.4,4.84E+14,8.26E-02,1.52E-03,r,,,N
39484.8,4.84E+14,7.40E-02,2.73E-03,r,,,N
39744.0,4.84E+14,7.26E-02,6.02E-03,r,,,N
40003.2,4.84E+14,7.40E-02,1.09E-02,r,,,N
42249.6,4.84E+14,8.42E-02,9.30E-03,r,,,N
42249.6,4.84E+14,8.42E-02,9.30E-03,r,,,N
42249.6,4.84E+14,8.34E-02,4.61E-03,r,,,N
42940.8,4.84E+14,7.33E-02,2.70E-03,r,,,N
42940.8,4.84E+14,7.68E-02,1.13E-02,r,,,N
42940.8,4.84E+14,7.68E-02,1.13E-02,r,,,N
42940.8,4.84E+14,7.47E-02,4.82E-03,r,,,N
44755.2,4.84E+14,7.40E-02,6.82E-03,r,,,N
44755.2,4.84E+14,7.40E-02,6.82E-03,r,,,N
44755.2,4.84E+14,7.54E-02,4.86E-03,r,,,N
45792.0,4.84E+14,7.54E-02,8.33E-03,r,,,N
45792.0,4.84E+14,7.89E-02,4.36E-03,r,,,N
46137.6,4.84E+14,6.63E-02,1.83E-03,r,,,N
71884.8,4.84E+14,3.88E-02,1.79E-03,r,,,N
118540.8,4.84E+14,1.89E-02,1.22E-03,r,,,N
160704.0,4.84E+14,1.07E-02,4.93E-04,r,,,N
183772.8,4.84E+14,1.31E-02,1.69E-03,r,,,N
259977.6,4.84E+14,7.47E-03,1.10E-03,r,,,N
183750.0,4.84E+14,1.66E-02,2.76E-03,r,,,N
125546.4,4.84E+14,1.81E-02,6.66E-04,r,,,N
91008.0,4.84E+14,2.84E-02,1.57E-03,r,,,N
81216.0,4.84E+14,2.76E-02,3.05E-03,r,,,N
85363.2,4.84E+14,3.08E-02,1.42E-03,r,,,N
189145.0,4.84E+14,1.17E-02,1.40E-03,r,,,N
88955.7,4.84E+14,2.47E-02,2.28E-03,r,,,N
175355.7,4.84E+14,1.12E-02,2.06E-03,r,,,N
